Index,Zip Code,Students Standard Exceeded_math2022,Students Standard Met_math2022,Students Standard Met and Above_math2022,Students Standard Nearly Met_math2022,Students Standard Not Met_math2022,Students with Scores_math2022,Percentage Standard Exceeded_math2022,Percentage Standard Met_math2022,Percentage Standard Met and Above_math2022,Percentage Standard Nearly Met_math2022,Percentage Standard Not Met_math2022,Median Mortgage
0,90001,430,787,1217,1439,3384,6040,7.119205298,13.02980132,20.14900662,23.82450331,56.02649007,425200
1,90002,144,304,448,661,1742,2851,5.050859348,10.66292529,15.71378464,23.18484742,61.10136794,411500
2,90003,427,900,1327,1689,3939,6955,6.139468009,12.9403307,19.07979871,24.28468728,56.63551402,430800
3,90004,611,611,1222,796,1338,3356,18.20619785,18.20619785,36.41239571,23.71871275,39.86889154,1148400
4,90005,487,749,1236,1137,2094,4467,10.90217148,16.76740542,27.6695769,25.45332438,46.87709872,964700
5,90006,116,245,361,486,1095,1942,5.973223481,12.61585994,18.58908342,25.02574665,56.38516993,716900
6,90007,327,671,998,1248,2745,4991,6.551793228,13.44419956,19.99599279,25.00500902,54.9989982,717300
7,90008,29,101,130,250,794,1174,2.470187394,8.60306644,11.07325383,21.29471891,67.63202726,781600
8,90010,23,57,80,135,318,533,4.315196998,10.69418386,15.00938086,25.32833021,59.66228893,822100
9,90011,367,1032,1399,2419,6036,9854,3.724375888,10.4729044,14.19728029,24.54840674,61.25431297,452100
10,90012,195,197,392,227,317,936,20.83333333,21.04700855,41.88034188,24.25213675,33.86752137,633000
11,90013,26,46,72,97,184,353,7.365439093,13.03116147,20.39660057,27.47875354,52.12464589,664800
12,90015,104,243,347,391,776,1514,6.869220608,16.05019815,22.91941876,25.82562748,51.25495376,715000
13,90016,130,289,419,597,1226,2242,5.798394291,12.89027654,18.68867083,26.6280107,54.68331847,677500
14,90017,55,193,248,464,1581,2293,2.398604448,8.416921064,10.81552551,20.23549935,68.94897514,697100
15,90018,179,339,518,730,1602,2850,6.280701754,11.89473684,18.1754386,25.61403509,56.21052632,704300
16,90019,274,372,646,577,1119,2342,11.69940222,15.88385995,27.58326217,24.63706234,47.77967549,1033900
17,90020,31,67,98,117,254,469,6.609808102,14.28571429,20.89552239,24.9466951,54.15778252,650300
18,90021,33,79,112,175,413,700,4.714285714,11.28571429,16,25,59,1013900
19,90022,414,853,1267,1509,2838,5614,7.37442109,15.19415746,22.56857855,26.8792305,50.55219095,471000
20,90023,468,828,1296,1390,2654,5340,8.764044944,15.50561798,24.26966292,26.02996255,49.70037453,479600
21,90024,314,187,501,151,209,861,36.46922184,21.71893148,58.18815331,17.53774681,24.27409988,1231000
