Index,Zip Code,Students Standard Exceeded_math2021,Students Standard Met_math2021,Students Standard Met and Above_math2021,Students Standard Nearly Met_math2021,Students Standard Not Met_math2021,Students with Scores_math2021,Percentage Standard Exceeded_math2021,Percentage Standard Met_math2021,Percentage Standard Met and Above_math2021,Percentage Standard Nearly Met_math2021,Percentage Standard Not Met_math2021,Median Mortgage
53,90245,611,476,1087,421,272,1780,34.3258427,26.74157303,61.06741573,23.65168539,15.28089888,1244200
54,90248,8,40,48,85,158,291,2.749140893,13.74570447,16.49484536,29.20962199,54.29553265,571200
55,90250,60,94,154,209,388,751,7.989347537,12.51664447,20.50599201,27.82956059,51.6644474,661400
56,90255,52,160,212,255,332,799,6.508135169,20.02503129,26.53316646,31.91489362,41.55193992,455000
57,90260,45,142,187,275,628,1090,4.128440367,13.02752294,17.1559633,25.2293578,57.6146789,597300
58,90262,239,646,885,1501,3645,6031,3.962858564,10.71132482,14.67418339,24.88807826,60.43773835,449600
59,90265,28,30,58,32,27,117,23.93162393,25.64102564,49.57264957,27.35042735,23.07692308,2000000
60,90266,38,17,55,15,9,79,48.10126582,21.51898734,69.62025316,18.98734177,11.39240506,2000000
61,90270,17,65,82,98,185,365,4.657534247,17.80821918,22.46575342,26.84931507,50.68493151,481800
62,90280,105,312,417,514,839,1770,5.93220339,17.62711864,23.55932203,29.03954802,47.40112994,470200
63,90291,97,76,173,56,32,261,37.16475096,29.11877395,66.2835249,21.4559387,12.2605364,1899800
64,90301,59,159,218,389,1145,1752,3.367579909,9.075342466,12.44292237,22.20319635,65.35388128,547900
65,90302,137,276,413,478,819,1710,8.011695906,16.14035088,24.15204678,27.95321637,47.89473684,590000
66,90303,36,83,119,206,628,953,3.777544596,8.70933893,12.48688353,21.61594963,65.89716684,606100
67,90304,11,30,41,48,43,132,8.333333333,22.72727273,31.06060606,36.36363636,32.57575758,586600
68,90305,0,2,2,12,65,79,0,2.53164557,2.53164557,15.18987342,82.27848101,646500
69,90601,54,100,154,95,103,352,15.34090909,28.40909091,43.75,26.98863636,29.26136364,626500
70,90603,32,57,89,60,79,228,14.03508772,25,39.03508772,26.31578947,34.64912281,649600
71,90604,245,372,617,528,512,1657,14.78575739,22.45021123,37.23596862,31.86481593,30.89921545,591400
72,90605,99,155,254,180,150,584,16.95205479,26.54109589,43.49315068,30.82191781,25.68493151,556000
73,90606,91,180,271,269,394,934,9.743040685,19.27194861,29.01498929,28.80085653,42.18415418,509600
74,90620,46,60,106,70,76,252,18.25396825,23.80952381,42.06349206,27.77777778,30.15873016,622700
75,90621,31,59,90,91,142,323,9.59752322,18.26625387,27.86377709,28.17337461,43.9628483,643200
76,90623,307,278,585,314,380,1279,24.00312744,21.73573104,45.73885848,24.55043002,29.71071149,739200
77,90630,1036,426,1462,414,404,2280,45.43859649,18.68421053,64.12280702,18.15789474,17.71929825,700100
78,90631,215,369,584,486,526,1596,13.47117794,23.12030075,36.5914787,30.45112782,32.95739348,628900
79,90638,20,22,42,10,7,59,33.89830508,37.28813559,71.18644068,16.94915254,11.86440678,630100
80,90640,234,510,744,1114,2614,4472,5.23255814,11.40429338,16.63685152,24.91055456,58.45259392,558600
81,90650,31,66,97,125,196,418,7.416267943,15.78947368,23.20574163,29.90430622,46.88995215,487800
82,90660,65,126,191,162,255,608,10.69078947,20.72368421,31.41447368,26.64473684,41.94078947,490300
83,90670,86,155,241,177,202,620,13.87096774,25,38.87096774,28.5483871,32.58064516,492100
84,90701,6,11,17,9,2,28,21.42857143,39.28571429,60.71428571,32.14285714,7.142857143,635000
85,90703,274,90,364,43,9,416,65.86538462,21.63461538,87.5,10.33653846,2.163461538,762700
86,90704,14,34,48,58,134,240,5.833333333,14.16666667,20,24.16666667,55.83333333,863800
