Index,Zip Code,Students Standard Exceeded_english2021,Students Standard Met_english2021,Students Standard Met and Above_english2021,Students Standard Nearly Met_english2021,Students Standard Not Met_english2021,Students with Scores_english2021,Percentage Standard Exceeded_english2021,Percentage Standard Met_english2021,Percentage Standard Met and Above_english2021,Percentage Standard Nearly Met_english2021,Percentage Standard Not Met_english2021,Median Mortgage
967,96093,39,72,111,65,58,234,16.66666667,30.76923077,47.43589744,27.77777778,24.78632479,298300
968,96094,22,49,71,44,41,156,14.1025641,31.41025641,45.51282051,28.20512821,26.28205128,248600
969,96097,84,175,259,205,272,736,11.41304348,23.77717391,35.19021739,27.85326087,36.95652174,190300
970,96101,41,101,142,137,135,414,9.903381643,24.39613527,34.29951691,33.09178744,32.60869565,145900
971,96104,7,28,35,15,16,66,10.60606061,42.42424242,53.03030303,22.72727273,24.24242424,174400
972,96107,23,30,53,20,10,83,27.71084337,36.14457831,63.85542169,24.09638554,12.04819277,245800
973,96109,27,37,64,53,48,165,16.36363636,22.42424242,38.78787879,32.12121212,29.09090909,186400
974,96114,17,56,73,66,81,220,7.727272727,25.45454545,33.18181818,30,36.81818182,295100
975,96118,8,14,22,20,7,49,16.32653061,28.57142857,44.89795918,40.81632653,14.28571429,215000
976,96120,10,10,20,5,10,35,28.57142857,28.57142857,57.14285714,14.28571429,28.57142857,375300
977,96122,15,41,56,42,29,127,11.81102362,32.28346457,44.09448819,33.07086614,22.83464567,198000
978,96130,161,318,479,278,422,1179,13.65564037,26.97201018,40.62765055,23.5793045,35.79304495,218100
979,96134,9,48,57,56,91,204,4.411764706,23.52941176,27.94117647,27.45098039,44.60784314,130100
980,96137,10,26,36,27,30,93,10.75268817,27.95698925,38.70967742,29.03225806,32.25806452,236300
981,96143,13,24,37,23,46,106,12.26415094,22.64150943,34.90566038,21.69811321,43.39622642,542100
982,96145,147,186,333,139,131,603,24.37810945,30.84577114,55.2238806,23.05140962,21.72470978,785700
983,96146,65,47,112,11,1,124,52.41935484,37.90322581,90.32258065,8.870967742,0.806451613,1203900
984,96161,348,451,799,282,267,1348,25.81602374,33.45697329,59.27299703,20.91988131,19.80712166,653600
},,,,,,,,,,,,,
