Zipcode,Income per capita,Median household income,Poverty, Median age,Median home value,Median monthly owner cost,Total Population,White Population,Black Population,American Indian Population,Asian Population,Hispanic Population,Population identifying as 2+ races,Percent of transit public transport,Latitude,Longitude,City,County
96092,30610.0,62375.0,55.0,41.1,313600.0,-666666666.0,320.0,282.0,0.0,0.0,0.0,48.0,19.0,0.0,39.97344,-121.97342,Vina,Tehama
96114,37921.0,73319.0,211.0,52.9,268000.0,1740.0,3129.0,2540.0,0.0,120.0,22.0,414.0,75.0,0.0,40.2945,-120.49359,Janesville,Lassen
96124,25088.0,-666666666.0,42.0,45.0,-666666666.0,1594.0,367.0,350.0,0.0,17.0,0.0,0.0,0.0,0.0,39.63918,-120.46194,Calpine,Sierra
96140,65003.0,88920.0,103.0,49.6,693500.0,3189.0,1345.0,1052.0,12.0,23.0,68.0,104.0,190.0,0.0,39.23244,-120.10364,Carnelian Bay,Placer
96141,62116.0,69688.0,124.0,55.6,844800.0,2846.0,463.0,441.0,0.0,0.0,22.0,0.0,0.0,0.0,39.10297,-120.19872,Homewood,Placer
96142,30393.0,70278.0,127.0,38.1,481100.0,1909.0,934.0,800.0,0.0,58.0,13.0,65.0,63.0,8.0,39.0138,-120.09592,Tahoma,El Dorado
96143,31137.0,51500.0,460.0,38.7,493200.0,2064.0,3356.0,2935.0,0.0,0.0,47.0,997.0,35.0,58.0,39.26174,-120.02817,Kings Beach,Placer
96161,57077.0,100205.0,1221.0,42.5,617500.0,2637.0,18782.0,16976.0,63.0,11.0,272.0,2241.0,678.0,76.0,39.34848,-120.22603,Truckee,Nevada
96015,16489.0,-666666666.0,175.0,73.5,-666666666.0,-666666666.0,334.0,160.0,7.0,1.0,148.0,52.0,0.0,0.0,41.49672,-120.87162,Canby,Modoc
96024,32733.0,48125.0,198.0,58.5,275000.0,1338.0,825.0,667.0,0.0,67.0,91.0,38.0,0.0,5.0,40.58767,-122.90143,Douglas City,Trinity
96028,26198.0,40688.0,83.0,56.3,283800.0,1372.0,1000.0,726.0,8.0,11.0,5.0,156.0,201.0,3.0,41.00761,-121.45731,Fall River Mills,Shasta
96003,32220.0,57301.0,7156.0,41.6,278700.0,1659.0,44171.0,38175.0,487.0,685.0,1946.0,3927.0,1855.0,94.0,40.66664,-122.31564,Redding,Shasta
96025,21965.0,36538.0,406.0,46.8,194300.0,1461.0,2232.0,1839.0,11.0,47.0,32.0,376.0,188.0,0.0,41.20409,-122.32523,Dunsmuir,Siskiyou
