zipcode,median,lat_x,lng_x,mortgage,lat_y,lng_y,city,population,density,county,county_seat,est,etymology,popl_2022,area,gdp_usd,gdp_rank
90018,704300,34.0286,-118.31737,3800,34.0286,-118.31737,Los Angeles,51388,6612.0,Los Angeles,Los Angeles,1850,"The city of Los Angeles, derived from the original Spanish nameEl Pueblo de Nuestra Señora la Reina de los Angeles del Río de Porciúncula(""The Village of Our Lady, the Queen of the Angels of the River of Porziuncola"")","9,721,138","4,060sq mi(10,515km2)",711874201,1
90019,1033900,34.04861,-118.33873999999999,4326,34.04861,-118.33873999999999,Los Angeles,61061,6090.9,Los Angeles,Los Angeles,1850,"The city of Los Angeles, derived from the original Spanish nameEl Pueblo de Nuestra Señora la Reina de los Angeles del Río de Porciúncula(""The Village of Our Lady, the Queen of the Angels of the River of Porziuncola"")","9,721,138","4,060sq mi(10,515km2)",711874201,1
90020,650300,34.06638,-118.30986000000001,1108,34.06638,-118.30986000000001,Los Angeles,38124,13238.3,Los Angeles,Los Angeles,1850,"The city of Los Angeles, derived from the original Spanish nameEl Pueblo de Nuestra Señora la Reina de los Angeles del Río de Porciúncula(""The Village of Our Lady, the Queen of the Angels of the River of Porziuncola"")","9,721,138","4,060sq mi(10,515km2)",711874201,1
90021,1013900,34.029090000000004,-118.23888999999998,94,34.029090000000004,-118.23888999999998,Los Angeles,2724,532.0,Los Angeles,Los Angeles,1850,"The city of Los Angeles, derived from the original Spanish nameEl Pueblo de Nuestra Señora la Reina de los Angeles del Río de Porciúncula(""The Village of Our Lady, the Queen of the Angels of the River of Porziuncola"")","9,721,138","4,060sq mi(10,515km2)",711874201,1
90022,471000,34.02455,-118.15608,3858,34.02455,-118.15608,Los Angeles,65110,5684.6,Los Angeles,Los Angeles,1850,"The city of Los Angeles, derived from the original Spanish nameEl Pueblo de Nuestra Señora la Reina de los Angeles del Río de Porciúncula(""The Village of Our Lady, the Queen of the Angels of the River of Porziuncola"")","9,721,138","4,060sq mi(10,515km2)",711874201,1
90023,479600,34.02264,-118.19986000000002,1858,34.02264,-118.19986000000002,Los Angeles,45732,4089.8,Los Angeles,Los Angeles,1850,"The city of Los Angeles, derived from the original Spanish nameEl Pueblo de Nuestra Señora la Reina de los Angeles del Río de Porciúncula(""The Village of Our Lady, the Queen of the Angels of the River of Porziuncola"")","9,721,138","4,060sq mi(10,515km2)",711874201,1
90024,1231000,34.06565,-118.43521000000001,3216,34.06565,-118.43521000000001,Los Angeles,50611,6570.9,Los Angeles,Los Angeles,1850,"The city of Los Angeles, derived from the original Spanish nameEl Pueblo de Nuestra Señora la Reina de los Angeles del Río de Porciúncula(""The Village of Our Lady, the Queen of the Angels of the River of Porziuncola"")","9,721,138","4,060sq mi(10,515km2)",711874201,1
90025,905900,34.04551,-118.44583,3474,34.04551,-118.44583,Los Angeles,44608,6751.9,Los Angeles,Los Angeles,1850,"The city of Los Angeles, derived from the original Spanish nameEl Pueblo de Nuestra Señora la Reina de los Angeles del Río de Porciúncula(""The Village of Our Lady, the Queen of the Angels of the River of Porziuncola"")","9,721,138","4,060sq mi(10,515km2)",711874201,1
90026,962100,34.078829999999996,-118.2637,4574,34.078829999999996,-118.2637,Los Angeles,65921,6316.1,Los Angeles,Los Angeles,1850,"The city of Los Angeles, derived from the original Spanish nameEl Pueblo de Nuestra Señora la Reina de los Angeles del Río de Porciúncula(""The Village of Our Lady, the Queen of the Angels of the River of Porziuncola"")","9,721,138","4,060sq mi(10,515km2)",711874201,1
90027,1287200,34.12515,-118.29048999999999,2766,34.12515,-118.29048999999999,Los Angeles,44678,2123.2,Los Angeles,Los Angeles,1850,"The city of Los Angeles, derived from the original Spanish nameEl Pueblo de Nuestra Señora la Reina de los Angeles del Río de Porciúncula(""The Village of Our Lady, the Queen of the Angels of the River of Porziuncola"")","9,721,138","4,060sq mi(10,515km2)",711874201,1
90028,723000,34.09982,-118.3268,437,34.09982,-118.3268,Los Angeles,29887,7639.1,Los Angeles,Los Angeles,1850,"The city of Los Angeles, derived from the original Spanish nameEl Pueblo de Nuestra Señora la Reina de los Angeles del Río de Porciúncula(""The Village of Our Lady, the Queen of the Angels of the River of Porziuncola"")","9,721,138","4,060sq mi(10,515km2)",711874201,1
90029,898400,34.08983,-118.29467,1028,34.08983,-118.29467,Los Angeles,35037,9830.4,Los Angeles,Los Angeles,1850,"The city of Los Angeles, derived from the original Spanish nameEl Pueblo de Nuestra Señora la Reina de los Angeles del Río de Porciúncula(""The Village of Our Lady, the Queen of the Angels of the River of Porziuncola"")","9,721,138","4,060sq mi(10,515km2)",711874201,1
90031,616900,34.08122,-118.21081000000001,2153,34.08122,-118.21081000000001,Los Angeles,38533,4251.3,Los Angeles,Los Angeles,1850,"The city of Los Angeles, derived from the original Spanish nameEl Pueblo de Nuestra Señora la Reina de los Angeles del Río de Porciúncula(""The Village of Our Lady, the Queen of the Angels of the River of Porziuncola"")","9,721,138","4,060sq mi(10,515km2)",711874201,1
90032,605400,34.0793,-118.17835,4682,34.0793,-118.17835,Los Angeles,45298,3632.4,Los Angeles,Los Angeles,1850,"The city of Los Angeles, derived from the original Spanish nameEl Pueblo de Nuestra Señora la Reina de los Angeles del Río de Porciúncula(""The Village of Our Lady, the Queen of the Angels of the River of Porziuncola"")","9,721,138","4,060sq mi(10,515km2)",711874201,1
90033,538900,34.05117,-118.21165,1841,34.05117,-118.21165,Los Angeles,47495,5597.5,Los Angeles,Los Angeles,1850,"The city of Los Angeles, derived from the original Spanish nameEl Pueblo de Nuestra Señora la Reina de los Angeles del Río de Porciúncula(""The Village of Our Lady, the Queen of the Angels of the River of Porziuncola"")","9,721,138","4,060sq mi(10,515km2)",711874201,1
90034,1152500,34.030590000000004,-118.39936000000002,3098,34.030590000000004,-118.39936000000002,Los Angeles,53321,6638.6,Los Angeles,Los Angeles,1850,"The city of Los Angeles, derived from the original Spanish nameEl Pueblo de Nuestra Señora la Reina de los Angeles del Río de Porciúncula(""The Village of Our Lady, the Queen of the Angels of the River of Porziuncola"")","9,721,138","4,060sq mi(10,515km2)",711874201,1
90035,1494600,34.051390000000005,-118.38577,2329,34.051390000000005,-118.38577,Los Angeles,26411,4480.7,Los Angeles,Los Angeles,1850,"The city of Los Angeles, derived from the original Spanish nameEl Pueblo de Nuestra Señora la Reina de los Angeles del Río de Porciúncula(""The Village of Our Lady, the Queen of the Angels of the River of Porziuncola"")","9,721,138","4,060sq mi(10,515km2)",711874201,1
90036,1634700,34.07013,-118.34978000000001,2051,34.07013,-118.34978000000001,Los Angeles,37596,5911.0,Los Angeles,Los Angeles,1850,"The city of Los Angeles, derived from the original Spanish nameEl Pueblo de Nuestra Señora la Reina de los Angeles del Río de Porciúncula(""The Village of Our Lady, the Queen of the Angels of the River of Porziuncola"")","9,721,138","4,060sq mi(10,515km2)",711874201,1
90037,502000,34.00271,-118.28747,3286,34.00271,-118.28747,Los Angeles,68885,9210.6,Los Angeles,Los Angeles,1850,"The city of Los Angeles, derived from the original Spanish nameEl Pueblo de Nuestra Señora la Reina de los Angeles del Río de Porciúncula(""The Village of Our Lady, the Queen of the Angels of the River of Porziuncola"")","9,721,138","4,060sq mi(10,515km2)",711874201,1
90038,945000,34.08882,-118.32671,784,34.08882,-118.32671,Los Angeles,27995,6983.0,Los Angeles,Los Angeles,1850,"The city of Los Angeles, derived from the original Spanish nameEl Pueblo de Nuestra Señora la Reina de los Angeles del Río de Porciúncula(""The Village of Our Lady, the Queen of the Angels of the River of Porziuncola"")","9,721,138","4,060sq mi(10,515km2)",711874201,1
90039,972900,34.11242,-118.26153000000001,3659,34.11242,-118.26153000000001,Los Angeles,28839,3059.2,Los Angeles,Los Angeles,1850,"The city of Los Angeles, derived from the original Spanish nameEl Pueblo de Nuestra Señora la Reina de los Angeles del Río de Porciúncula(""The Village of Our Lady, the Queen of the Angels of the River of Porziuncola"")","9,721,138","4,060sq mi(10,515km2)",711874201,1
90040,452100,33.993179999999995,-118.1489,1097,33.993179999999995,-118.1489,Los Angeles,11844,821.3,Los Angeles,Los Angeles,1850,"The city of Los Angeles, derived from the original Spanish nameEl Pueblo de Nuestra Señora la Reina de los Angeles del Río de Porciúncula(""The Village of Our Lady, the Queen of the Angels of the River of Porziuncola"")","9,721,138","4,060sq mi(10,515km2)",711874201,1
90041,886800,34.13749,-118.20746000000001,3794,34.13749,-118.20746000000001,Los Angeles,28956,3110.8,Los Angeles,Los Angeles,1850,"The city of Los Angeles, derived from the original Spanish nameEl Pueblo de Nuestra Señora la Reina de los Angeles del Río de Porciúncula(""The Village of Our Lady, the Queen of the Angels of the River of Porziuncola"")","9,721,138","4,060sq mi(10,515km2)",711874201,1
