Year,County_name,County_dept,Crimes,Number of Crimes
2021,Riverside County,Riverside Co. Sheriff's Department,Homicide_sum,111
2021,Sacramento County,Sacramento Co. Sheriff's Department,Homicide_sum,107
2021,San Benito County,San Benito Co. Sheriff's Department,Homicide_sum,1
2021,San Bernardino County,San Bernardino Co. Sheriff's Department,Homicide_sum,177
2021,San Diego County,San Diego Co. Sheriff's Department,Homicide_sum,113
2021,San Francisco County,San Francisco,Homicide_sum,56
2021,San Joaquin County,San Joaquin Co. Sheriff's Department,Homicide_sum,63
2021,San Luis Obispo County,San Luis Obispo Co. Sheriff's Department,Homicide_sum,2
2021,San Mateo County,San Mateo Co. Sheriff's Department,Homicide_sum,18
2021,Santa Barbara County,Santa Barbara Co. Sheriff's Department,Homicide_sum,18
2021,Santa Clara County,Santa Clara Co. Sheriff's Department,Homicide_sum,57
2021,Santa Cruz County,Santa Cruz Co. Sheriff's Department,Homicide_sum,12
2021,Shasta County,Shasta Co. Sheriff's Department,Homicide_sum,0
2021,Sierra County,Sierra Co. Sheriff's Department,Homicide_sum,0
2021,Siskiyou County,Siskiyou Co. Sheriff's Department,Homicide_sum,4
2021,Solano County,Solano Co. Sheriff's Department,Homicide_sum,32
2021,Sonoma County,Sonoma Co. Sheriff's Department,Homicide_sum,9
2021,Stanislaus County,Stanislaus Co. Sheriff's Department,Homicide_sum,26
2021,Sutter County,Sutter Co. Sheriff's Department,Homicide_sum,5
2021,Tehama County,Tehama Co. Sheriff's Department,Homicide_sum,2
2021,Trinity County,Trinity Co. Sheriff's Department,Homicide_sum,1
2021,Tulare County,Tulare Co. Sheriff's Department,Homicide_sum,42
2021,Tuolumne County,Tuolumne Co. Sheriff's Department,Homicide_sum,1
2021,Ventura County,Ventura Co. Sheriff's Department,Homicide_sum,20
2021,Yolo County,Yolo Co. Sheriff's Department,Homicide_sum,5
2021,Yuba County,Yuba Co. Sheriff's Department,Homicide_sum,6
2021,Alameda County,Alameda Co. Sheriff's Department,Rape_sum,7918
2021,Alpine County,Alpine Co. Sheriff's Department,Rape_sum,0
2021,Amador County,Amador Co. Sheriff's Department,Rape_sum,23
2021,Butte County,Butte Co. Sheriff's Department,Rape_sum,178
2021,Calaveras County,Calaveras Co. Sheriff's Department,Rape_sum,6
2021,Colusa County,Colusa Co. Sheriff's Department,Rape_sum,20
2021,Contra Costa County,Contra Costa Co. Sheriff's Department,Rape_sum,1638
2021,Del Norte County,Del Norte Co. Sheriff's Department,Rape_sum,50
2021,El Dorado County,El Dorado Co. Sheriff's Department,Rape_sum,59
2021,Fresno County,Fresno Co. Sheriff's Department,Rape_sum,1688
2021,Glenn County,Glenn Co. Sheriff's Department,Rape_sum,10
2021,Humboldt County,Humboldt Co. Sheriff's Department,Rape_sum,288
2021,Imperial County,Imperial Co. Sheriff's Department,Rape_sum,126
2021,Inyo County,Inyo Co. Sheriff's Department,Rape_sum,31
2021,Kern County,Kern Co. Sheriff's Department,Rape_sum,1999
2021,Kings County,Kings Co. Sheriff's Department,Rape_sum,110
2021,Lake County,Lake Co. Sheriff's Department,Rape_sum,68
2021,Lassen County,Lassen Co. Sheriff's Department,Rape_sum,9
2021,Los Angeles County,Los Angeles Co. Sheriff's Department,Rape_sum,26655
2021,Madera County,Madera Co. Sheriff's Department,Rape_sum,93
2021,Marin County,Marin Co. Sheriff's Department,Rape_sum,174
2021,Mariposa County,Mariposa Co. Sheriff's Department,Rape_sum,2
2021,Mendocino County,Mendocino Co. Sheriff's Department,Rape_sum,51
2021,Merced County,Merced Co. Sheriff's Department,Rape_sum,378
2021,Modoc County,Modoc Co. Sheriff's Department,Rape_sum,0
2021,Mono County,Mono Co. Sheriff's Department,Rape_sum,2
2021,Monterey County,Monterey Co. Sheriff's Department,Rape_sum,634
2021,Napa County,Napa Co. Sheriff's Department,Rape_sum,108
2021,Nevada County,Nevada Co. Sheriff's Department,Rape_sum,26
2021,Orange County,Orange Co. Sheriff's Department,Rape_sum,3103
2021,Placer County,Placer Co. Sheriff's Department,Rape_sum,191
2021,Plumas County,Plumas Co. Sheriff's Department,Rape_sum,0
2021,Riverside County,Riverside Co. Sheriff's Department,Rape_sum,2223
2021,Sacramento County,Sacramento Co. Sheriff's Department,Rape_sum,3159
2021,San Benito County,San Benito Co. Sheriff's Department,Rape_sum,50
2021,San Bernardino County,San Bernardino Co. Sheriff's Department,Rape_sum,3761
2021,San Diego County,San Diego Co. Sheriff's Department,Rape_sum,3749
2021,San Francisco County,San Francisco,Rape_sum,2811
2021,San Joaquin County,San Joaquin Co. Sheriff's Department,Rape_sum,1587
2021,San Luis Obispo County,San Luis Obispo Co. Sheriff's Department,Rape_sum,129
2021,San Mateo County,San Mateo Co. Sheriff's Department,Rape_sum,897
2021,Santa Barbara County,Santa Barbara Co. Sheriff's Department,Rape_sum,439
2021,Santa Clara County,Santa Clara Co. Sheriff's Department,Rape_sum,3125
2021,Santa Cruz County,Santa Cruz Co. Sheriff's Department,Rape_sum,284
2021,Shasta County,Shasta Co. Sheriff's Department,Rape_sum,0
2021,Sierra County,Sierra Co. Sheriff's Department,Rape_sum,0
2021,Siskiyou County,Siskiyou Co. Sheriff's Department,Rape_sum,27
2021,Solano County,Solano Co. Sheriff's Department,Rape_sum,928
2021,Sonoma County,Sonoma Co. Sheriff's Department,Rape_sum,205
2021,Stanislaus County,Stanislaus Co. Sheriff's Department,Rape_sum,806
2021,Sutter County,Sutter Co. Sheriff's Department,Rape_sum,107
2021,Tehama County,Tehama Co. Sheriff's Department,Rape_sum,74
2021,Trinity County,Trinity Co. Sheriff's Department,Rape_sum,12
2021,Tulare County,Tulare Co. Sheriff's Department,Rape_sum,440
2021,Tuolumne County,Tuolumne Co. Sheriff's Department,Rape_sum,32
2021,Ventura County,Ventura Co. Sheriff's Department,Rape_sum,679
2021,Yolo County,Yolo Co. Sheriff's Department,Rape_sum,424
2021,Yuba County,Yuba Co. Sheriff's Department,Rape_sum,117
2021,Alameda County,Alameda Co. Sheriff's Department,Robbery_sum,4575
2021,Alpine County,Alpine Co. Sheriff's Department,Robbery_sum,0
2021,Amador County,Amador Co. Sheriff's Department,Robbery_sum,13
2021,Butte County,Butte Co. Sheriff's Department,Robbery_sum,120
2021,Calaveras County,Calaveras Co. Sheriff's Department,Robbery_sum,4
2021,Colusa County,Colusa Co. Sheriff's Department,Robbery_sum,11
2021,Contra Costa County,Contra Costa Co. Sheriff's Department,Robbery_sum,1004
2021,Del Norte County,Del Norte Co. Sheriff's Department,Robbery_sum,33
2021,El Dorado County,El Dorado Co. Sheriff's Department,Robbery_sum,43
2021,Fresno County,Fresno Co. Sheriff's Department,Robbery_sum,1070
2021,Glenn County,Glenn Co. Sheriff's Department,Robbery_sum,6
2021,Humboldt County,Humboldt Co. Sheriff's Department,Robbery_sum,141
2021,Imperial County,Imperial Co. Sheriff's Department,Robbery_sum,87
2021,Inyo County,Inyo Co. Sheriff's Department,Robbery_sum,19
2021,Kern County,Kern Co. Sheriff's Department,Robbery_sum,1249
2021,Kings County,Kings Co. Sheriff's Department,Robbery_sum,79
2021,Lake County,Lake Co. Sheriff's Department,Robbery_sum,41
2021,Lassen County,Lassen Co. Sheriff's Department,Robbery_sum,6
2021,Los Angeles County,Los Angeles Co. Sheriff's Department,Robbery_sum,15642
2021,Madera County,Madera Co. Sheriff's Department,Robbery_sum,55
2021,Marin County,Marin Co. Sheriff's Department,Robbery_sum,99
