zip_code,median,lat,lng,mortgage
91324,680200,34.23855,-118.55015,3482
91325,720900,34.23636,-118.51777,4160
91326,846700,34.28022,-118.5566,7022
91331,487600,34.25602,-118.41939,10521
91335,580500,34.20107,-118.5407,8665
91340,515000,34.28668,-118.43479,3816
91342,520900,34.31778,-118.39207,12043
91343,608500,34.23837,-118.48076,6824
91344,690300,34.28991,-118.5047,9357
91345,558000,34.26591,-118.45948,2808
91350,605800,34.43028,-118.50283,8647
91351,471900,34.43269,-118.46276,5688
91352,584100,34.23183,-118.36596,4343
91354,648600,34.46039,-118.5528,7244
91355,600200,34.42379,-118.58437,5820
91356,1023000,34.15504,-118.54757,5083
91360,735100,34.21475,-118.87735,7589
91361,1042900,34.14016,-118.88398,3790
91362,878300,34.19244,-118.81949,7295
91364,949000,34.1548,-118.59492,5219
91367,786200,34.17708,-118.61518,6654
91377,823300,34.1847,-118.76652,2723
91381,851300,34.3753,-118.60744,3888
91384,579800,34.51604,-118.67289,4887
91387,599500,34.39708,-118.3707,6659
91390,647600,34.53159,-118.40668,3804
91401,798900,34.17801,-118.43183,3620
91402,483700,34.22413,-118.4448,5281
91403,1129100,34.14716,-118.46311,4221
91405,581600,34.20153,-118.44863,3802
91406,608600,34.19791,-118.48987,5246
91411,759300,34.17853,-118.45956,1859
91423,1066600,34.14924,-118.43239,4282
91436,1545300,34.15219,-118.49053,3233
91501,827400,34.19469,-118.29431,2095
91502,761400,34.17684,-118.30936,492
91504,819100,34.21349,-118.31478,3982
91505,812500,34.17583,-118.34692,4422
91506,850600,34.17134,-118.32384,3393
91601,744500,34.16827,-118.37222,2278
91602,873700,34.15078,-118.36633,2429
91604,1263200,34.13985,-118.39435,5096
91605,605900,34.20699,-118.40067,4279
91606,648100,34.18655,-118.38867,3910
91607,864100,34.16633,-118.39982,2955
91701,577200,34.13784,-117.60028,7216
91702,474100,34.24129,-117.82614,6517
91706,465900,34.09627,-117.96855,7414
91708,488900,33.95141,-117.64506,1495
91709,676800,33.95105,-117.72549,12574
91710,512600,34.00507,-117.68249,10950
91711,714400,34.12836,-117.71523,5834
91722,513600,34.09731,-117.90612,5180
91723,579100,34.08495,-117.88652,1887
91724,613400,34.0805,-117.85515,4418
91730,452400,34.10023,-117.5811,8654
91731,497100,34.07914,-118.04047,1542
91732,517800,34.07239,-118.01455,3909
91733,486400,34.0454,-118.05314,2657
91737,659500,34.15523,-117.57808,4215
91739,648400,34.1622,-117.51558,6673
91740,590200,34.11884,-117.8534,3809
91741,757100,34.1647,-117.83197,4394
91744,463200,34.02914,-117.93735,8069
91745,647300,33.99926,-117.97225,7631
91746,488400,34.04397,-117.98785,3748
91748,663600,33.9769,-117.89924,5523
91750,630400,34.14927,-117.76647,5771
91752,521900,33.99575,-117.53399,4320
91754,687700,34.051,-118.14451,3279
91755,639900,34.04832,-118.11496,2105
91759,380000,34.2541,-117.69194,57
91761,452900,34.03541,-117.5915,8557
91762,437700,34.02764,-117.64308,6935
91763,423700,34.07208,-117.69828,3571
91764,415600,34.07533,-117.60164,5410
91765,709800,33.98725,-117.81473,8001
91766,452700,34.04192,-117.75698,6733
91767,449500,34.08143,-117.73868,5584
91768,427500,34.06358,-117.78941,3269
91770,601300,34.06395,-118.08361,4602
91773,625400,34.1072,-117.80928,5574
91775,861400,34.11454,-118.08946,3212
91776,698900,34.08987,-118.09519,2720
91780,766200,34.10152,-118.05584,4426
91784,666800,34.14103,-117.65831,5740
91786,483400,34.10525,-117.66206,5236
91789,790500,34.01858,-117.85408,6515
91790,594000,34.06722,-117.93788,5492
91791,647400,34.06134,-117.89425,4528
91792,557100,34.02586,-117.89989,3729
91801,662100,34.09093,-118.12776,4181
91803,643900,34.0749,-118.14624,2872
91901,644200,32.81467,-116.71929,3544
91902,732000,32.67479,-117.00475,3199
91905,280400,32.67773,-116.30734,249
91906,282800,32.66241,-116.47255,571
91910,549100,32.63653,-117.06301,9145
91911,485300,32.60686,-117.04984,8149
91913,578600,32.62174,-116.98609,8705
91914,739300,32.66604,-116.95426,3044
91915,604600,32.62266,-116.95013,6043
91916,479600,32.91103,-116.63201,353
91917,433300,32.6267,-116.71894,112
91932,639200,32.56923,-117.11798,1868
91934,265500,32.66488,-116.16828,84
91935,681300,32.70214,-116.78721,1875
91941,684900,32.75964,-116.99253,6093
91942,578600,32.77728,-117.02129,4911
91945,478800,32.73315,-117.03402,3819
91948,240300,32.87509,-116.47076,31
91950,450700,32.66952,-117.09313,4044
91962,433300,32.79248,-116.48044,503
91963,350000,32.64798,-116.5964,49
91977,493000,32.72387,-116.99631,9078
91978,454100,32.71209,-116.94103,1443
92003,720300,33.28701,-117.19977,752
92004,320600,33.18481,-116.15688,370
92007,1304000,33.02216,-117.27389,1812
92008,881300,33.14564,-117.31691,3576
92009,964200,33.09535,-117.24574,8934
92010,776000,33.15676,-117.28423,2787
92011,924700,33.10698,-117.29507,4088
92014,1827000,32.96797,-117.24879,2370
92019,576700,32.77886,-116.87142,7453
92020,576200,32.79557,-116.9697,6186
92021,469100,32.83514,-116.87462,7476
92024,1063400,33.05716,-117.25651,8184
92025,558600,33.08492,-117.02967,5342
92026,539900,33.2111,-117.11157,8051
92027,493300,33.13263,-116.98335,7180
92028,627900,33.38613,-117.22658,8226
92029,690900,33.08555,-117.12885,3762
92036,425900,33.01137,-116.37672,745
92037,1614900,32.85257,-117.25104,6107
92040,540200,32.90665,-116.88875,7161
92054,648800,33.19377,-117.35508,3879
92056,583700,33.20197,-117.28939,8816
92057,530600,33.25326,-117.28704,9378
92058,510400,33.28379,-117.34182,2561
92059,234200,33.38277,-117.05193,153
92061,611500,33.30036,-116.93048,247
92064,767500,32.98038,-117.01746,9138
92065,593100,33.04736,-116.84386,7078
92066,364900,33.21541,-116.53583,77
92067,2000000,33.02087,-117.19209,1530
92069,569500,33.17536,-117.15761,6181
92070,335700,33.18513,-116.74071,73
92071,524100,32.85045,-116.99479,10449
92075,1442900,32.99735,-117.25875,1956
92078,665300,33.11834,-117.18554,9032
92081,599400,33.16451,-117.24056,3953
92082,620700,33.2518,-117.00284,3374
92083,467600,33.19808,-117.24844,3813
92084,600600,33.22454,-117.20334,6396
92086,265800,33.29718,-116.64176,245
92091,1359400,33.03432,-117.19704,320
92101,626000,32.7162,-117.18589,5076
92102,477100,32.71595,-117.11749,3579
92103,835300,32.74782,-117.16738,4154
92104,679300,32.74191,-117.12781,4628
92105,459200,32.73756,-117.09193,5045
92106,1070000,32.71334,-117.23617,3086
92107,982300,32.7402,-117.24357,3270
92108,469300,32.77423,-117.14097,2982
92109,962000,32.78699,-117.23273,4654
92110,688800,32.76533,-117.19965,2841
92111,604600,32.8065,-117.16897,6091
92113,406600,32.69591,-117.12012,2737
92114,461500,32.70778,-117.05529,9214
92115,580800,32.76154,-117.07187,5732
92116,690400,32.76484,-117.12303,4122
92117,690000,32.82493,-117.19972,7275
92118,1656900,32.67466,-117.16915,2277
92119,632500,32.80896,-117.03232,4748
92120,654100,32.79526,-117.07317,5319
92121,821100,32.8973,-117.20231,721
92122,780000,32.85681,-117.21017,3957
92123,600900,32.80958,-117.13419,3658
92124,704400,32.82823,-117.08528,3732
92126,599500,32.912,-117.14344,9918
92127,914200,33.01913,-117.12339,9123
92128,681900,32.99687,-117.07308,9510
92129,815300,32.96354,-117.12622,9399
92130,1189300,32.94763,-117.20586,10373
92131,885500,32.89604,-117.05737,7623
92139,466100,32.68006,-117.04889,4158
92154,477900,32.578,-116.96621,10125
92173,388700,32.55552,-117.05114,1755
92201,272400,33.70804,-116.23502,9224
92203,368900,33.75159,-116.24139,6889
92210,750700,33.70357,-116.33953,819
92211,400000,33.76593,-116.33241,4874
92220,259600,33.93992,-116.83935,3747
92223,354000,33.9382,-116.98137,11019
92225,165000,33.71642,-114.65606,1689
92227,226700,32.98677,-115.3341,3036
92230,211900,33.9088,-116.76879,228
92231,233300,32.68751,-115.56433,3359
92233,158400,33.14736,-115.50686,407
92234,325200,33.81386,-116.46663,7299
92236,262300,33.70276,-116.07254,7165
92239,112500,33.87424,-115.24396,11
92240,230300,33.95291,-116.5194,4384
92241,92600,33.84634,-116.28342,752
92242,101600,34.19019,-114.30755,104
92243,216700,32.77285,-115.60065,3510
92249,220200,32.72606,-115.48218,788
92250,234300,32.79188,-115.23454,529
92251,271600,32.87129,-115.71804,2999
92252,217900,34.14801,-116.28422,1269
92253,453600,33.65562,-116.28785,7531
92254,160400,33.54371,-115.99995,713
92256,183300,34.07207,-116.61761,516
92257,57800,33.33976,-115.52814,72
92258,69100,33.91791,-116.56002,12
92259,158000,32.73478,-115.94632,13
92260,363400,33.69841,-116.40519,4990
92262,447800,33.86287,-116.55736,4560
92264,386800,33.73575,-116.50544,3536
92268,427900,34.16146,-116.55002,82
92270,570400,33.76399,-116.42705,3581
92273,158800,32.80798,-115.69592,125
92274,113200,33.47031,-116.11387,1238
92275,145600,33.20783,-115.88084,266
92276,206000,33.83234,-116.38648,1084
92277,158900,34.11248,-115.68752,1994
92281,160600,33.05033,-115.61264,152
92282,225000,33.96253,-116.65829,224
92284,225100,34.16013,-116.42474,4560
92285,157100,34.33762,-116.51364,314
92301,238600,34.65183,-117.52617,3670
92305,296400,34.17018,-116.83231,62
92307,301700,34.59078,-117.14127,6223
92308,282100,34.42005,-117.15558,6993
92309,86300,35.24942,-116.15578,41
92311,144900,34.97204,-117.0101,2685
92313,378100,34.03142,-117.31373,1945
92314,307100,34.2576,-116.80075,2150
92315,467800,34.22011,-116.95301,856
92316,339100,34.0576,-117.39076,3498
92317,504900,34.24507,-117.20874,134
92320,279200,33.9874,-117.05024,1635
92321,370900,34.24748,-117.14694,222
92322,273100,34.25419,-117.32259,260
92324,326000,34.03398,-117.29008,6227
92325,278800,34.24554,-117.27506,1783
92327,151700,34.86632,-116.84347,0
92328,68500,36.39482,-117.02718,7
92333,372600,34.26951,-116.96277,123
92335,344200,34.08733,-117.46519,8298
92336,460100,34.13686,-117.46033,17876
92337,403600,34.04967,-117.47145,6244
92339,335700,34.08189,-116.83838,260
92341,255200,34.24009,-117.06798,98
92342,266100,34.76078,-117.33795,1070
92344,345700,34.39176,-117.40657,3243
92345,277100,34.36415,-117.30984,11403
92346,367300,34.12629,-117.1792,8475
92347,72000,34.95003,-117.25802,117
92352,457800,34.26824,-117.18486,1224
92354,411400,34.04933,-117.25119,2261
92356,169100,34.49633,-116.89265,836
92358,418800,34.24624,-117.56762,178
92359,341600,34.08296,-117.07026,1480
92363,125400,34.70863,-114.57562,513
92365,117600,34.88843,-116.54129,249
92368,259800,34.65508,-117.30893,68
92371,272700,34.43837,-117.54266,3075
92372,294100,34.45097,-117.62859,987
92373,530800,34.00648,-117.15351,4841
92374,413600,34.06738,-117.17482,5822
92376,332100,34.11053,-117.37997,8913
92377,418300,34.15234,-117.40412,3235
92378,289500,34.23206,-117.22483,101
92382,296600,34.20604,-117.11276,899
92385,322000,34.21345,-117.23057,85
92386,304800,34.23702,-116.82523,307
92389,103800,35.82902,-116.24813,5
92391,277100,34.23958,-117.23665,334
92392,276900,34.479,-117.40884,8127
92394,261300,34.563,-117.3542,4968
92395,255100,34.50032,-117.29479,5699
92397,360900,34.36212,-117.69136,968
92399,368400,34.04469,-117.004,8324
92401,264300,34.10586,-117.29188,93
92404,289900,34.17862,-117.23891,6642
92405,277800,34.14578,-117.30225,3266
92407,367300,34.22394,-117.38839,8740
92408,304900,34.0845,-117.2653,1071
92410,207500,34.10655,-117.29574,3264
92411,238400,34.12214,-117.32291,2142
92501,358700,33.99496,-117.37367,2271
92503,426000,33.88308,-117.45222,12722
92504,391600,33.90607,-117.39854,7116
92505,408100,33.92663,-117.4928,5286
92506,503700,33.93478,-117.36689,8141
92507,396100,33.97464,-117.32234,4353
92508,536600,33.89039,-117.3282,5962
92509,391900,34.00293,-117.44547,9483
92530,368200,33.63386,-117.37949,7724
92532,413400,33.69052,-117.30241,4853
92536,374100,33.48791,-116.81528,339
92539,242300,33.51579,-116.64432,520
92543,169000,33.69867,-116.97916,3855
92544,271700,33.64581,-116.86033,6968
92545,252000,33.7311,-117.0359,5773
92548,192700,33.76392,-117.10907,762
92549,400300,33.80886,-116.71212,491
92551,332400,33.88148,-117.22521,4235
92553,321800,33.92335,-117.24532,7286
92555,403300,33.9133,-117.10867,7489
92557,362200,33.96855,-117.25704,7486
92561,369100,33.63704,-116.57441,226
92562,478500,33.53579,-117.35098,11036
92563,459800,33.58435,-117.14458,12422
92567,379400,33.82378,-117.10305,1445
92570,326200,33.78377,-117.31737,6705
92571,336100,33.84182,-117.19522,7086
92582,339000,33.80489,-117.01873,3167
92583,251700,33.79662,-116.93188,3782
92584,422000,33.66167,-117.18079,10344
92585,371400,33.74217,-117.16723,4764
92586,276200,33.70773,-117.20045,4090
92587,442700,33.69466,-117.25196,3369
92590,1071800,33.48391,-117.22075,518
92591,501600,33.53432,-117.1092,6276
92592,522400,33.511,-117.0242,15790
92595,417300,33.61638,-117.26028,5959
92596,475400,33.64739,-117.07641,6085
92602,933600,33.72645,-117.7287,2808
92603,1303200,33.62927,-117.79408,2877
92604,818400,33.6879,-117.7889,4050
92606,853800,33.69849,-117.8123,2312
92610,807300,33.68336,-117.65404,2713
92612,789000,33.65984,-117.82457,2303
92614,789500,33.68173,-117.83316,2876
92617,585600,33.64197,-117.84103,887
92618,960800,33.66729,-117.73362,5654
92620,982000,33.70661,-117.75695,8070
92624,913400,33.46082,-117.66656,973
92625,2000000,33.60229,-117.86551,2180
92626,842500,33.67896,-117.90844,6066
92627,842100,33.64786,-117.9205,6506
92629,981600,33.47678,-117.70459,5271
92630,694800,33.64709,-117.68428,11846
92637,327000,33.60796,-117.72799,2343
92646,814900,33.66525,-117.96755,11119
92647,793300,33.72395,-118.00685,6011
92648,985800,33.68212,-118.0101,5943
92649,885000,33.72037,-118.04423,5369
92651,2000000,33.56535,-117.77399,4519
92653,771800,33.59276,-117.69994,5343
92655,583300,33.74606,-117.98765,414
92656,679300,33.57518,-117.73036,9149
92657,2000000,33.59571,-117.83069,1798
92660,1905400,33.63375,-117.87504,5557
92661,2000000,33.60231,-117.89872,334
92662,2000000,33.60547,-117.89218,375
92663,1590000,33.62328,-117.93022,3021
92672,980200,33.3825,-117.5403,5304
92673,972200,33.46611,-117.61204,5972
92675,770000,33.49977,-117.65366,6154
92676,712200,33.75306,-117.63534,494
92677,909500,33.52777,-117.70523,12322
92678,777000,33.64627,-117.50662,170
92679,970200,33.65274,-117.56048,7640
92683,651200,33.75242,-117.99383,9299
92688,673400,33.61737,-117.61131,9199
92691,750800,33.61051,-117.66627,9685
92692,795500,33.60948,-117.64396,9723
92694,844700,33.51502,-117.58065,7182
92701,521700,33.7486,-117.85877,2592
92703,486000,33.74853,-117.90621,4123
92704,534800,33.72038,-117.90807,6354
92705,914900,33.755,-117.81488,6886
92706,673300,33.76602,-117.88174,4428
92707,539700,33.70991,-117.87045,5024
92708,816900,33.71046,-117.95132,8066
92780,669400,33.73685,-117.81968,5451
92782,879300,33.72833,-117.79753,4781
92801,543200,33.84441,-117.95175,4519
92802,577500,33.80831,-117.9237,2856
92804,594400,33.81801,-117.97517,7157
92805,583800,33.83003,-117.90568,6288
92806,623300,33.83884,-117.87054,3618
92807,731100,33.85001,-117.78946,7230
92808,807100,33.85623,-117.74018,4640
92821,700900,33.92997,-117.86986,6284
92823,913900,33.92536,-117.80024,1229
92831,676300,33.8795,-117.89607,3626
92832,615300,33.86871,-117.92914,1976
92833,686700,33.88051,-117.96112,6996
92835,831100,33.90171,-117.91529,4714
92840,590900,33.78584,-117.93202,5731
92841,609900,33.7868,-117.98207,3067
92843,570200,33.76399,-117.93153,3784
92844,545400,33.76561,-117.96952,1903
92845,668900,33.78292,-118.0264,2836
92860,595300,33.9262,-117.54913,4664
92861,1287100,33.81801,-117.81031,1215
92865,652400,33.82887,-117.84925,3498
92866,722200,33.78453,-117.84479,1271
92867,780900,33.81443,-117.79617,6447
92868,531900,33.78799,-117.87637,2209
92869,770700,33.79479,-117.7621,6118
92870,696700,33.88087,-117.85522,7690
92879,452900,33.87979,-117.5357,5602
92880,601700,33.92096,-117.61052,12377
92881,615000,33.82163,-117.56763,5867
92882,521000,33.86367,-117.59989,9434
92883,538500,33.75994,-117.47827,7439
92886,864700,33.89517,-117.80154,10083
92887,903900,33.88727,-117.73389,4144
93001,630400,34.35321,-119.31868,3783
93003,617700,34.28434,-119.22256,7679
93004,608100,34.27901,-119.16537,4900
93010,662300,34.23007,-119.07437,7257
93012,657700,34.20518,-118.99309,6602
93013,822400,34.42697,-119.48032,2080
93015,456600,34.40969,-118.87807,2021
93021,690900,34.30417,-118.88274,7302
93022,610500,34.40324,-119.29836,1007
93023,692700,34.50372,-119.24856,3233
93030,530000,34.2051,-119.1753,5075
93033,442700,34.15401,-119.12296,6268
93035,632800,34.19034,-119.22879,3608
93036,527700,34.24911,-119.15977,5045
93040,393500,34.59337,-118.93657,271
93041,446800,34.14956,-119.17458,2322
93060,446700,34.36543,-119.09563,3294
93063,626900,34.30922,-118.69041,10246
93065,642900,34.26206,-118.77151,14211
93066,1068500,34.28851,-119.02848,364
93067,1875000,34.42162,-119.59277,82
93101,905500,34.41925,-119.70808,2244
93103,1117000,34.43888,-119.68173,2312
93105,1180200,34.52702,-119.76082,3753
93108,2000000,34.44934,-119.60397,1739
93109,1413400,34.40662,-119.72682,1450
93110,875700,34.43913,-119.7666,2361
93111,961100,34.44932,-119.80223,2637
93117,838300,34.49102,-120.08201,4267
93201,91000,35.8555,-119.48338,50
93202,187500,36.3187,-119.7076,702
93203,192800,35.12158,-118.8468,1725
93204,180200,35.90819,-120.06776,1033
93205,109500,35.5387,-118.45463,179
93206,152200,35.44402,-119.47578,121
93207,200000,35.88721,-118.63153,29
93210,203100,36.19519,-120.43245,2102
93212,176400,36.01649,-119.56937,1312
93215,215100,35.7764,-119.18835,4525
93218,134500,35.86194,-119.03822,90
93219,162500,35.87908,-119.28818,819
93221,278600,36.29637,-119.02992,1918
93222,282500,34.89835,-119.25983,562
93223,189100,36.30117,-119.20789,1091
93224,152200,35.21687,-119.58087,51
93225,247900,34.78532,-119.04196,1147
93226,227600,35.7476,-118.73462,12
93230,252300,36.28967,-119.62514,9022
93234,190000,36.19608,-120.08477,300
93235,175600,36.38507,-119.22314,427
93237,228400,36.47452,-118.90426,37
93240,177900,35.62425,-118.4645,519
93241,147600,35.24922,-118.91224,964
93242,264100,36.44115,-119.73024,377
93243,359400,34.84057,-118.81769,89
93244,177800,36.3908,-118.99733,34
93245,261400,36.28614,-119.83405,4048
93247,208800,36.20234,-119.08277,1899
93249,149100,35.67033,-119.85814,123
93250,203700,35.66456,-119.20278,1267
93252,151100,34.80685,-119.34664,119
93254,182200,34.92498,-119.74834,153
93255,131500,35.68292,-118.0798,91
93256,162700,35.96805,-119.31251,485
93257,211800,35.98708,-118.89493,8028
93258,95000,36.05833,-119.15209,76
93260,143200,35.81909,-118.66116,42
93261,127600,35.81147,-119.11673,151
93263,206700,35.48722,-119.27835,2283
93265,305900,36.20713,-118.70876,925
93267,143000,36.14279,-119.0742,732
93268,164200,35.16725,-119.40785,1278
93270,221700,35.94703,-119.05669,725
93271,333600,36.43661,-118.86903,503
93272,185200,36.04818,-119.34535,178
93274,246600,36.17978,-119.37949,8991
93277,256600,36.29963,-119.38139,7060
93280,188300,35.65204,-119.44716,2347
93283,119800,35.58478,-118.28854,301
93285,101600,35.72233,-118.50871,261
93286,232800,36.45149,-119.1079,946
93287,221900,35.72387,-118.91958,29
93291,294800,36.38931,-119.36838,7912
