Index,Zip Code,Students Standard Exceeded_english2022,Students Standard Met_english2022,Students Standard Met and Above_english2022,Students Standard Nearly Met_english2022,Students Standard Not Met_english2022,Students with Scores_english2022,Percentage Standard Exceeded_english2022,Percentage Standard Met_english2022,Percentage Standard Met and Above_english2022,Percentage Standard Nearly Met_english2022,Percentage Standard Not Met_english2022,Median Mortgage
50,90062,118,341,459,390,801,1650,7.151515152,20.66666667,27.81818182,23.63636364,48.54545455,550600
51,90063,1012,2154,3166,2433,3968,9567,10.57802864,22.51489495,33.09292359,25.43116965,41.47590676,481100
52,90064,283,289,572,215,260,1047,27.0296084,27.60267431,54.63228271,20.53486151,24.83285578,1388300
53,90065,716,1043,1759,843,961,3563,20.0954252,29.27308448,49.36850968,23.65983722,26.9716531,833400
54,90066,897,1071,1968,802,869,3639,24.64962902,29.43116241,54.08079143,22.03902171,23.88018686,1282100
55,90068,19,23,42,16,9,67,28.35820896,34.32835821,62.68656716,23.88059701,13.43283582,1500800
56,90069,72,34,106,20,10,136,52.94117647,25,77.94117647,14.70588235,7.352941176,890100
57,90077,123,37,160,13,6,179,68.7150838,20.67039106,89.38547486,7.262569832,3.351955307,2000000
58,90094,108,42,150,32,14,196,55.10204082,21.42857143,76.53061224,16.32653061,7.142857143,1132000
59,90201,873,1930,2803,2170,3381,8354,10.45008379,23.10270529,33.55278908,25.97558056,40.47163036,440500
60,90210,131,79,210,33,21,264,49.62121212,29.92424242,79.54545455,12.5,7.954545455,2000000
61,90211,149,77,226,41,38,305,48.85245902,25.24590164,74.09836066,13.44262295,12.45901639,2000000
62,90212,370,359,729,172,159,1060,34.90566038,33.86792453,68.77358491,16.22641509,15,2000000
63,90220,453,876,1329,806,1430,3565,12.70687237,24.57223001,37.27910238,22.60869565,40.11220196,394900
64,90221,474,1000,1474,1032,1759,4265,11.1137163,23.44665885,34.56037515,24.19695193,41.24267292,412600
65,90222,404,649,1053,516,642,2211,18.27227499,29.35323383,47.62550882,23.33785617,29.03663501,420700
66,90230,1132,1049,2181,655,580,3416,33.1381733,30.70843091,63.84660422,19.17447307,16.97892272,849200
67,90232,169,128,297,113,124,534,31.64794007,23.97003745,55.61797753,21.16104869,23.22097378,1219100
68,90240,467,660,1127,547,629,2303,20.27789839,28.65827182,48.93617021,23.75162831,27.31220148,646900
69,90241,930,1341,2271,1093,1181,4545,20.4620462,29.5049505,49.9669967,24.04840484,25.98459846,627700
70,90242,656,1275,1931,1173,1347,4451,14.73826106,28.64524826,43.38350932,26.3536284,30.26286228,557700
71,90245,825,622,1447,279,185,1911,43.1711146,32.54840398,75.71951858,14.59968603,9.680795395,1244200
72,90247,311,594,905,715,1184,2804,11.09129815,21.18402282,32.27532097,25.49928673,42.2253923,540800
73,90248,89,173,262,172,260,694,12.82420749,24.92795389,37.75216138,24.78386167,37.46397695,571200
74,90249,121,132,253,112,138,503,24.055666,26.24254473,50.29821074,22.26640159,27.43538767,584000
75,90250,1349,2070,3419,1691,2013,7123,18.93864945,29.06078899,47.99943844,23.73999719,28.26056437,661400
76,90254,374,284,658,102,58,818,45.72127139,34.71882641,80.4400978,12.46943765,7.090464548,1674500
77,90255,1079,2297,3376,2374,3307,9057,11.91343712,25.36159876,37.27503588,26.2117699,36.51319421,455000
78,90260,703,1324,2027,1047,1103,4177,16.83026095,31.69739047,48.52765142,25.06583672,26.40651185,597300
79,90262,652,1347,1999,1524,2760,6283,10.37720834,21.43880312,31.81601146,24.2559287,43.92805984,449600
80,90265,215,224,439,80,49,568,37.85211268,39.43661972,77.28873239,14.08450704,8.626760563,2000000
81,90266,1386,933,2319,346,162,2827,49.02723735,33.00318359,82.03042094,12.23912274,5.730456314,2000000
82,90270,322,511,833,459,552,1844,17.46203905,27.71149675,45.17353579,24.89154013,29.93492408,481800
83,90272,477,324,801,161,118,1080,44.16666667,30,74.16666667,14.90740741,10.92592593,2000000
84,90274,1101,735,1836,300,149,2285,48.18380744,32.16630197,80.35010941,13.12910284,6.520787746,1757700
85,90275,1764,1513,3277,635,425,4337,40.67327646,34.88586581,75.55914226,14.64145723,9.799400507,1247000
86,90277,983,857,1840,421,241,2502,39.28856914,34.25259792,73.54116707,16.82653877,9.632294165,1143800
87,90278,969,795,1764,416,240,2420,40.04132231,32.85123967,72.89256198,17.19008264,9.917355372,992600
88,90280,1112,2176,3288,2298,3240,8826,12.59913891,24.65443009,37.253569,26.03670972,36.70972128,470200
89,90290,23,33,56,16,10,82,28.04878049,40.24390244,68.29268293,19.51219512,12.19512195,1184900
90,90291,288,161,449,135,127,711,40.50632911,22.64416315,63.15049226,18.98734177,17.86216596,1899800
91,90292,20,57,77,53,80,210,9.523809524,27.14285714,36.66666667,25.23809524,38.0952381,1076900
92,90293,21,32,53,24,32,109,19.26605505,29.35779817,48.62385321,22.01834862,29.35779817,899000
93,90301,226,642,868,680,987,2535,8.915187377,25.32544379,34.24063116,26.82445759,38.93491124,547900
94,90302,325,454,779,404,464,1647,19.7328476,27.56527019,47.29811779,24.52944748,28.17243473,590000
95,90303,128,312,440,363,686,1489,8.596373405,20.95366017,29.55003358,24.3787777,46.07118872,606100
96,90304,381,808,1189,852,927,2968,12.83692722,27.22371968,40.0606469,28.70619946,31.23315364,586600
97,90305,47,74,121,78,79,278,16.90647482,26.61870504,43.52517986,28.05755396,28.41726619,646500
98,90402,114,51,165,10,5,180,63.33333333,28.33333333,91.66666667,5.555555556,2.777777778,2000000
99,90403,740,451,1191,187,86,1464,50.54644809,30.80601093,81.35245902,12.77322404,5.87431694,1523400
100,90404,157,109,266,53,52,371,42.3180593,29.38005391,71.69811321,14.28571429,14.01617251,922900
101,90405,795,707,1502,333,282,2117,37.55314124,33.39631554,70.94945678,15.72980633,13.32073689,1430800
102,90501,514,603,1117,437,385,1939,26.50850954,31.09850438,57.60701392,22.53739041,19.85559567,724900
103,90502,69,97,166,112,155,433,15.93533487,22.40184758,38.33718245,25.86605081,35.79676674,520700
104,90503,1292,1239,2531,650,421,3602,35.86896169,34.39755691,70.2665186,18.04553026,11.68795114,861000
105,90504,855,819,1674,517,397,2588,33.03709428,31.64605873,64.68315301,19.97681607,15.34003091,712300
106,90505,1320,1019,2339,489,326,3154,41.85161699,32.30818009,74.15979708,15.50412175,10.33608117,916100
107,90601,372,622,994,594,704,2292,16.23036649,27.13787086,43.36823735,25.91623037,30.71553229,626500
108,90602,57,83,140,93,124,357,15.96638655,23.24929972,39.21568627,26.05042017,34.73389356,601600
109,90603,295,217,512,127,116,755,39.07284768,28.74172185,67.81456954,16.82119205,15.36423841,649600
110,90604,1083,1560,2643,1152,913,4708,23.00339847,33.13508921,56.13848768,24.46898895,19.39252336,591400
111,90605,763,1161,1924,926,1056,3906,19.53405018,29.7235023,49.25755248,23.70711726,27.03533026,556000
112,90606,440,710,1150,635,687,2472,17.79935275,28.72168285,46.5210356,25.68770227,27.79126214,509600
113,90620,471,662,1133,527,709,2369,19.88180667,27.94428029,47.82608696,22.24567328,29.92823976,622700
114,90621,396,517,913,474,683,2070,19.13043478,24.97584541,44.10628019,22.89855072,32.99516908,643200
115,90623,764,697,1461,391,365,2217,34.46098331,31.43888137,65.89986468,17.63644565,16.46368967,739200
116,90630,1936,1297,3233,643,439,4315,44.86674392,30.05793743,74.92468134,14.90150637,10.17381228,700100
117,90631,820,1219,2039,1070,1281,4390,18.67881549,27.76765376,46.44646925,24.37357631,29.17995444,628900
118,90638,741,934,1675,709,670,3054,24.2632613,30.58284217,54.84610347,23.21545514,21.93844139,630100
119,90640,546,1258,1804,1374,1989,5167,10.56706019,24.34681633,34.91387652,26.59183278,38.49429069,558600
120,90650,966,1727,2693,1602,2187,6482,14.90280778,26.64301142,41.54581919,24.71459426,33.73958655,487800
121,90660,604,1000,1604,1031,1352,3987,15.14923501,25.08151492,40.23074994,25.85904189,33.91020818,490300
122,90670,421,591,1012,393,345,1750,24.05714286,33.77142857,57.82857143,22.45714286,19.71428571,492100
123,90680,67,95,162,90,120,372,18.01075269,25.53763441,43.5483871,24.19354839,32.25806452,472800
124,90701,265,394,659,362,333,1354,19.57163959,29.09896603,48.67060561,26.73559823,24.59379616,635000
125,90703,3070,1874,4944,958,703,6605,46.47993944,28.37244512,74.85238456,14.50416351,10.64345193,762700
126,90704,33,46,79,68,102,249,13.25301205,18.47389558,31.72690763,27.30923695,40.96385542,863800
127,90706,295,690,985,726,992,2703,10.91379948,25.52719201,36.44099149,26.8590455,36.699963,535300
128,90710,181,272,453,234,343,1030,17.57281553,26.40776699,43.98058252,22.7184466,33.30097087,523400
129,90712,407,627,1034,526,640,2200,18.5,28.5,47,23.90909091,29.09090909,622800
130,90713,539,856,1395,722,638,2755,19.56442831,31.0707804,50.63520871,26.20689655,23.15789474,638600
131,90715,173,349,522,299,379,1200,14.41666667,29.08333333,43.5,24.91666667,31.58333333,555400
132,90716,69,176,245,216,247,708,9.745762712,24.85875706,34.60451977,30.50847458,34.88700565,442000
133,90717,301,446,747,434,478,1659,18.14345992,26.88366486,45.02712477,26.16033755,28.81253767,649400
134,90720,2143,1346,3489,594,262,4345,49.32105869,30.97813579,80.29919448,13.67088608,6.029919448,1004200
135,90723,617,1485,2102,1618,1947,5667,10.88759485,26.20434092,37.09193577,28.55126169,34.35680254,411900
136,90731,558,926,1484,876,1256,3616,15.43141593,25.60840708,41.03982301,24.22566372,34.73451327,657700
137,90732,215,164,379,128,148,655,32.82442748,25.03816794,57.86259542,19.54198473,22.59541985,657400
138,90740,135,88,223,66,38,327,41.28440367,26.91131498,68.19571865,20.18348624,11.62079511,442000
139,90744,528,1019,1547,1075,1835,4457,11.84653354,22.86291227,34.70944582,24.1193628,41.17119138,471000
140,90745,792,1194,1986,1136,1226,4348,18.21527139,27.46090156,45.67617295,26.12695492,28.19687213,516000
141,90746,153,351,504,372,536,1412,10.83569405,24.85835694,35.69405099,26.34560907,37.96033994,585600
142,90755,162,283,445,311,379,1135,14.27312775,24.9339207,39.20704846,27.40088106,33.39207048,553100
143,90802,208,414,622,401,634,1657,12.55280628,24.98491249,37.53771877,24.2003621,38.26191913,460300
144,90803,587,414,1001,208,235,1444,40.65096953,28.67036011,69.32132964,14.40443213,16.27423823,943000
145,90804,486,775,1261,667,727,2655,18.30508475,29.19020716,47.4952919,25.12241055,27.38229755,541000
146,90805,572,1337,1909,1438,2189,5536,10.33236994,24.15101156,34.4833815,25.97543353,39.54118497,469100
147,90806,287,420,707,424,618,1749,16.40937679,24.01372213,40.42309891,24.24242424,35.33447684,568400
148,90807,605,682,1287,520,639,2446,24.73426002,27.88225675,52.61651676,21.25919869,26.12428455,661100
149,90808,1457,1521,2978,896,677,4551,32.01494177,33.4212261,65.43616788,19.68798066,14.87585146,708300
150,90810,407,684,1091,756,1164,3011,13.51710395,22.71670541,36.23380937,25.10793756,38.65825307,464500
151,90813,428,812,1240,946,1455,3641,11.75501236,22.3015655,34.05657786,25.98187311,39.96154902,430500
152,90814,134,130,264,98,130,492,27.23577236,26.42276423,53.65853659,19.91869919,26.42276423,738900
153,90815,1183,1167,2350,732,650,3732,31.69882101,31.27009646,62.96891747,19.61414791,17.41693462,701600
154,91001,370,400,770,380,537,1687,21.93242442,23.7107291,45.64315353,22.52519265,31.83165382,887100
155,91006,995,956,1951,418,398,2767,35.95952295,34.55005421,70.50957716,15.10661366,14.38380918,1074000
156,91007,1040,593,1633,300,263,2196,47.35883424,27.00364299,74.36247723,13.66120219,11.97632058,1056600
157,91008,147,200,347,136,130,613,23.98042414,32.62642741,56.60685155,22.18597064,21.20717781,1414100
158,91010,301,339,640,288,384,1312,22.94207317,25.83841463,48.7804878,21.95121951,29.26829268,560900
159,91011,1251,586,1837,190,62,2089,59.88511249,28.05169938,87.93681187,9.09526089,2.967927238,1671000
160,91016,674,690,1364,520,653,2537,26.56681119,27.19747734,53.76428853,20.49664959,25.73906188,707400
161,91024,326,290,616,145,112,873,37.34249714,33.2187858,70.56128293,16.6093929,12.82932417,1048300
162,91030,1277,675,1952,278,188,2418,52.81224152,27.91563275,80.72787428,11.49710505,7.775020678,1174400
163,91040,168,282,450,287,322,1059,15.86402266,26.62889518,42.49291785,27.10103872,30.40604344,638100
164,91042,105,169,274,176,231,681,15.4185022,24.8164464,40.2349486,25.84434655,33.92070485,617400
165,91101,48,125,173,141,270,584,8.219178082,21.40410959,29.62328767,24.14383562,46.23287671,615200
166,91103,124,208,332,259,431,1022,12.13307241,20.35225049,32.4853229,25.34246575,42.17221135,780200
167,91104,292,400,692,394,569,1655,17.64350453,24.16918429,41.81268882,23.80664653,34.38066465,836500
168,91105,51,55,106,39,45,190,26.84210526,28.94736842,55.78947368,20.52631579,23.68421053,1306200
169,91106,105,163,268,127,224,619,16.9628433,26.33279483,43.29563813,20.51696284,36.18739903,811200
170,91107,494,378,872,302,447,1621,30.47501542,23.31893893,53.79395435,18.63047502,27.57557064,913700
171,91108,809,373,1182,114,63,1359,59.52906549,27.44665195,86.97571744,8.388520971,4.635761589,2000000
