zip_code,lat,lng,city,population,density,county
90265,34.07282,-118.84995,Malibu,16868,58.7,Los Angeles
90266,33.88968,-118.39705,Manhattan Beach,35585,3393.9,Los Angeles
90270,33.98856,-118.18774,Maywood,25415,8251.6,Los Angeles
90272,34.08066,-118.54459,Pacific Palisades,21282,345.1,Los Angeles
90274,33.77732,-118.3684,Palos Verdes Peninsula,24890,802.6,Los Angeles
90275,33.7555,-118.36338,Rancho Palos Verdes,42417,1210.2,Los Angeles
90277,33.83099,-118.38441,Redondo Beach,36409,3927.6,Los Angeles
90278,33.87362,-118.37028,Redondo Beach,42841,4505.9,Los Angeles
90280,33.94453,-118.19256,South Gate,93207,4876.7,Los Angeles
90290,34.09725,-118.6125,Topanga,5114,105.4,Los Angeles
90291,33.99447,-118.46315,Venice,25685,4025.4,Los Angeles
90292,33.97865,-118.44707,Marina Del Rey,23951,4411.9,Los Angeles
90293,33.95071,-118.43745,Playa Del Rey,12812,1805,Los Angeles
90301,33.95647,-118.35863,Inglewood,38500,5990.8,Los Angeles
90302,33.97472,-118.35565,Inglewood,29278,5908.5,Los Angeles
90303,33.93601,-118.33112,Inglewood,23415,4658.4,Los Angeles
90304,33.93736,-118.35879,Inglewood,26103,6147,Los Angeles
90305,33.9583,-118.33113,Inglewood,15254,2253.3,Los Angeles
90401,34.01584,-118.49251,Santa Monica,7482,3828.7,Los Angeles
90402,34.03598,-118.50391,Santa Monica,12046,2277.4,Los Angeles
90403,34.03164,-118.48975,Santa Monica,24525,6708,Los Angeles
90404,34.02665,-118.47381,Santa Monica,23460,4595.6,Los Angeles
90405,34.01208,-118.4679,Santa Monica,27367,3798.3,Los Angeles
90501,33.8336,-118.31419,Torrance,43450,2950.9,Los Angeles
90502,33.83497,-118.29291,Torrance,18110,3122.9,Los Angeles
90503,33.84089,-118.3538,Torrance,44744,3280.1,Los Angeles
90504,33.86693,-118.33135,Torrance,33022,2891,Los Angeles
90505,33.80904,-118.34775,Torrance,37533,2476.5,Los Angeles
90506,33.88493,-118.33044,Torrance,0,0,Los Angeles
90601,34.0078,-118.03287,Whittier,30955,1127.3,Los Angeles
90602,33.97317,-118.02341,Whittier,25907,2666.4,Los Angeles
90603,33.94487,-117.99239,Whittier,21236,2591.9,Los Angeles
90604,33.93012,-118.01226,Whittier,39926,3662.6,Los Angeles
