zip_code,district,postal_area_name,percent_of_zip_code_population_in_district
90503,36,Torrance,55.25933107
90503,43,Torrance,44.74066893
90504,36,Torrance,0.538411839
90504,43,Torrance,99.46158816
90505,36,Torrance,98.10605027
90505,43,Torrance,1.893949731
90506,43,Torrance,0
90601,31,Whittier,9.256704981
90601,38,Whittier,90.74329502
90602,38,Whittier,100
90603,38,Whittier,100
90604,38,Whittier,100
90605,38,Whittier,100
90606,38,Whittier,100
90620,45,Buena Park,99.6692724
90620,46,Buena Park,0.330727601
90621,45,Buena Park,99.98647625
90621,46,Buena Park,0.013523748
90623,45,La Palma,100
90630,42,Cypress,0.234163915
90630,45,Cypress,99.76583609
90631,38,La Habra,99.95973135
90631,45,La Habra,0.040268649
90638,38,La Mirada,99.02271808
90638,45,La Mirada,0.977281921
90639,38,La Mirada,100
90640,28,Montebello,0
90640,34,Montebello,0.162736526
90640,38,Montebello,99.83726347
90640,42,Montebello,0
90650,38,Norwalk,100
90650,42,Norwalk,0
90660,38,Pico Rivera,100
90670,38,Santa Fe Springs,100
90680,45,Stanton,0
90680,46,Stanton,100
90701,45,Artesia,100
90703,38,Cerritos,0
90703,42,Cerritos,0
90703,45,Cerritos,100
90704,42,Avalon,100
90706,42,Bellflower,80.70574268
90706,44,Bellflower,19.29425732
90710,36,Harbor City,35.91806051
90710,44,Harbor City,64.08193949
90712,44,Lakewood,100
90713,42,Lakewood,98.22987307
90713,44,Lakewood,1.770126934
90713,45,Lakewood,0
90715,42,Lakewood,88.20896233
90715,45,Lakewood,11.79103767
90716,45,Hawaiian Gardens,100
90717,36,Lomita,98.76156777
90717,44,Lomita,1.238432226
90720,45,Los Alamitos,100
90720,47,Los Alamitos,0
90723,42,Paramount,0.020457504
90723,44,Paramount,99.9795425
90731,42,San Pedro,0.00489636
90731,44,San Pedro,99.99510364
90732,36,San Pedro,0.042061971
90732,44,San Pedro,99.95793803
90740,42,Seal Beach,0.044410352
90740,47,Seal Beach,99.95558965
90742,47,Sunset Beach,100
90743,47,Surfside,100
90744,42,Wilmington,0
90744,44,Wilmington,100
90745,44,Carson,100
90746,43,Carson,0.088407559
90746,44,Carson,99.91159244
90747,44,Carson,100
90755,42,Signal Hill,100
90755,44,Signal Hill,0
90802,42,Long Beach,100
90803,42,Long Beach,100
90804,42,Long Beach,100
90805,43,Long Beach,0.042999476
90805,44,Long Beach,99.95700052
90806,42,Long Beach,36.37740021
90806,44,Long Beach,63.62259979
90807,42,Long Beach,0.018511662
90807,44,Long Beach,99.98148834
90808,42,Long Beach,47.52056759
90808,44,Long Beach,52.47943241
90808,45,Long Beach,0
90810,42,Long Beach,8.209400711
90810,44,Long Beach,91.79059929
90813,42,Long Beach,99.95784844
90813,44,Long Beach,0.042151562
90814,42,Long Beach,100
90815,42,Long Beach,100
90822,42,Long Beach,100
90831,42,Long Beach,0
90840,42,Long Beach,100
91001,28,Altadena,100
91001,30,Altadena,0
91006,28,Arcadia,80.5940718
91006,31,Arcadia,19.4059282
91007,28,Arcadia,100
91008,31,Duarte,100
91010,31,Duarte,100
91011,28,La Canada Flintridge,99.75714008
91011,30,La Canada Flintridge,0.242859918
91016,28,Monrovia,8.558730766
91016,31,Monrovia,91.44126923
91020,28,Montrose,72.22419718
91020,30,Montrose,27.77580282
91024,28,Sierra Madre,100
91030,28,South Pasadena,100
91030,34,South Pasadena,0
91040,30,Sunland,100
91042,28,Tujunga,0.007133685
91042,29,Tujunga,0
91042,30,Tujunga,99.99286631
91046,30,Verdugo City,100
91101,28,Pasadena,100
91103,28,Pasadena,70.77026072
91103,30,Pasadena,29.22973928
91104,28,Pasadena,100
91105,28,Pasadena,91.49902661
91105,30,Pasadena,7.599682746
91105,34,Pasadena,0.901290648
91106,28,Pasadena,100
91107,28,Pasadena,100
91108,28,San Marino,100
91125,28,Pasadena,100
91201,30,Glendale,100
91202,30,Glendale,100
91203,30,Glendale,100
91204,30,Glendale,100
91205,30,Glendale,100
91206,30,Glendale,100
91206,34,Glendale,0
91207,30,Glendale,100
91208,30,Glendale,100
91210,30,Glendale,100
91214,28,La Crescenta,44.87249574
91214,30,La Crescenta,55.12750426
91301,26,Agoura Hills,91.76684147
91301,32,Agoura Hills,8.233158532
91302,26,Calabasas,81.98523638
91302,32,Calabasas,18.01476362
91303,32,Canoga Park,100
91304,26,Canoga Park,0.500133623
91304,32,Canoga Park,99.49986638
91306,32,Winnetka,100
