zipcode,Income per capita,Median household income,Poverty, Median age,Median home value,Median monthly owner cost,Total Population,White Population,Black Population,American Indian Population,Asian Population,Hispanic Population,Population identifying as 2+ races,Percent of transit public transport,Latitude,Longitude,City,County
93962,69006,,0,64.7,648000,2980,373,336,0,37,0,117,0,10,36.62472,-121.64649,Spreckels,Monterey
93272,15086,46250,1015,25.9,163700,889,4925,3833,0,20,0,4307,454,0,36.04818,-119.34535,Tipton,Tulare
93308,23442,46071,12273,35.4,235300,1653,55211,44410,1106,627,1809,13308,3961,254,35.5498,-118.93389,Bakersfield,Kern
93402,38434,81494,1493,47,591600,2373,16198,13782,29,137,613,3184,838,12,35.29082,-120.8392,Los Osos,San Luis Obispo
93429,26330,,0,68.7,263200,,88,48,13,0,0,75,0,0,34.86682,-120.53582,Casmalia,Santa Barbara
93430,41205,67750,451,58.9,845200,2365,2681,2506,2,2,56,431,67,9,35.49214,-120.92422,Cayucos,San Luis Obispo
93063,41468,96654,4612,42.1,606200,2581,56259,40260,536,281,7315,13522,4837,310,34.30922,-118.69041,Simi Valley,Ventura
93205,15077,23051,1142,41.8,90900,1170,2164,1778,0,54,0,253,242,0,35.5387,-118.45463,Bodfish,Kern
93224,22676,49500,67,37,120500,1304,364,311,0,0,2,54,28,0,35.21687,-119.58087,Fellows,Kern
93226,36249,,4,66.4,246700,1383,82,68,4,8,0,0,2,0,35.7476,-118.73462,Glennville,Kern
93240,22398,33793,1271,50.1,149200,1318,6096,5472,60,183,57,430,292,0,35.62425,-118.4645,Lake Isabella,Kern
93251,17732,46719,32,37.5,,2150,237,150,0,7,12,111,57,0,35.37059,-119.69735,McKittrick,Kern
93265,41085,67617,407,46.9,276900,1736,3230,2961,23,0,18,640,112,0,36.20713,-118.70876,Springville,Tulare
93287,37699,101250,3,25.4,232400,1848,75,62,0,8,0,13,5,0,35.72387,-118.91958,Woody,Kern
93309,25029,52268,11525,31.6,214100,1456,58709,36770,5722,385,2672,27683,7191,354,35.34266,-119.06461,Bakersfield,Kern
93311,41006,93200,3674,33.1,303300,2057,46618,27593,2678,279,7892,16853,4603,69,35.15378,-119.16567,Bakersfield,Kern
93427,44506,106682,179,42.7,598900,2879,6195,5320,69,14,105,1632,177,73,34.62724,-120.22465,Buellton,Santa Barbara
93446,38759,76859,3540,40.6,487600,2277,44960,38153,84,472,1140,12822,2852,102,35.65861,-120.71888,Paso Robles,San Luis Obispo
93451,31617,70568,689,39.8,395100,2077,4233,3258,4,75,67,2155,276,0,35.89398,-120.56733,San Miguel,Monterey
