zipcode,Income per capita,Median household income,Poverty, Median age,Median home value,Median monthly owner cost,Total Population,White Population,Black Population,American Indian Population,Asian Population,Hispanic Population,Population identifying as 2+ races,Percent of transit public transport,Latitude,Longitude,City,County
90272,136439.0,199598.0,887,46.7,2000001.0,4001.0,21848,18953,73,19,1617,887,1092,74,34.080659999999995,-118.54458999999999,Pacific Palisades,Los Angeles
90291,88538.0,99496.0,2994,39.2,1793300.0,4001.0,27556,21753,1488,88,1179,5046,1654,495,33.99447,-118.46315,Venice,Los Angeles
90303,25130.0,62826.0,3146,34.8,564000.0,2118.0,23961,6350,8975,228,440,13607,1295,547,33.936009999999996,-118.33112,Inglewood,Los Angeles
90403,83825.0,111611.0,2017,43.0,1441800.0,3949.0,24359,19292,395,20,2135,2233,1929,454,34.03164,-118.48975,Santa Monica,Los Angeles
90502,37752.0,85515.0,1663,41.9,490900.0,2162.0,18527,5901,1221,22,6703,7118,825,91,33.83497,-118.29291,Torrance,Los Angeles
90603,37294.0,104028.0,1071,40.1,620900.0,2625.0,20780,12985,238,155,1362,11514,2052,96,33.94487,-117.99238999999999,Whittier,Los Angeles
90604,28554.0,77898.0,2943,34.3,561200.0,2366.0,40545,18779,455,362,2993,27646,2451,121,33.93012,-118.01226000000001,Whittier,Los Angeles
90007,19179.0,30530.0,13792,24.9,671100.0,2298.0,42380,15908,4509,273,7747,22081,3303,2829,34.02819,-118.28486000000001,Los Angeles,Los Angeles
90015,39297.0,48743.0,6535,31.5,705900.0,3193.0,23900,9002,1607,198,4202,13927,1525,2436,34.039320000000004,-118.26625,Los Angeles,Los Angeles
90003,14241.0,42220.0,20636,28.6,394200.0,1943.0,74117,21165,13700,489,247,59098,5983,3339,33.96409,-118.27368,Los Angeles,Los Angeles
90020,33241.0,50207.0,6295,35.6,661200.0,2636.0,39366,8516,2667,485,18413,13015,1237,3889,34.06638,-118.30986000000001,Los Angeles,Los Angeles
90023,15656.0,45991.0,10374,30.7,449000.0,1894.0,46517,21902,521,558,320,44780,2514,2176,34.02264,-118.19986000000002,Los Angeles,Los Angeles
90027,53851.0,71651.0,5908,37.9,1241400.0,4001.0,45996,29836,1232,59,5909,11039,2885,2284,34.12515,-118.29048999999999,Los Angeles,Los Angeles
90039,56757.0,88104.0,2742,39.1,899000.0,3115.0,29966,17239,347,757,4923,10474,2369,757,34.11242,-118.26153000000001,Los Angeles,Los Angeles
90045,57627.0,110535.0,2619,35.4,1061200.0,3281.0,39795,24997,4097,152,5458,7361,3557,263,33.95302,-118.40028000000001,Los Angeles,Los Angeles
